Episodes, Test_Sample_Rate, Total_Avg_Rate
70300,80.0,72.16
70400,82.0,72.17
70500,72.0,72.17
70600,81.0,72.19
70700,74.0,72.19
70800,68.0,72.18
70900,75.0,72.19
71000,70.0,72.18
71100,78.0,72.19
71200,71.0,72.19
71300,75.0,72.19
71400,70.0,72.19
71500,68.0,72.19
71600,83.0,72.2
71700,71.0,72.2
71800,81.0,72.21
71900,74.0,72.21
72000,68.0,72.21
72100,76.0,72.21
72200,73.0,72.21
72300,75.0,72.22
72400,70.0,72.22
72500,69.0,72.21
72600,73.0,72.21
72700,70.0,72.21
72800,72.0,72.21
72900,74.0,72.21
73000,74.0,72.21
73100,64.0,72.2
73200,71.0,72.2
73300,77.0,72.21
73400,81.0,72.22
73500,82.0,72.23
73600,71.0,72.23
73700,68.0,72.23
73800,75.0,72.23
73900,70.0,72.23
74000,73.0,72.23
74100,72.0,72.23
74200,47.0,72.19
74300,75.0,72.2
74400,81.0,72.21
74500,68.0,72.2
74600,75.0,72.21
74700,78.0,72.21
74800,72.0,72.21
74900,78.0,72.22
75000,74.0,72.22
75100,73.0,72.23
75200,73.0,72.23
75300,67.0,72.22
75400,73.0,72.22
75500,71.0,72.22
75600,76.0,72.22
75700,74.0,72.23
75800,78.0,72.23
75900,69.0,72.23
76000,70.0,72.23
76100,76.0,72.23
76200,45.0,72.2
76300,75.0,72.2
76400,77.0,72.21
76500,79.0,72.21
76600,76.0,72.22
76700,74.0,72.22
76800,76.0,72.23
76900,70.0,72.22
77000,71.0,72.22
77100,76.0,72.23
77200,78.0,72.23
77300,79.0,72.24
77400,68.0,72.24
77500,71.0,72.24
77600,79.0,72.24
77700,61.0,72.23
77800,72.0,72.23
77900,77.0,72.24
78000,71.0,72.23
78100,69.0,72.23
78200,75.0,72.23
78300,71.0,72.23
78400,74.0,72.23
78500,70.0,72.23
78600,74.0,72.23
78700,73.0,72.24
78800,74.0,72.24
78900,66.0,72.23
79000,54.0,72.21
79100,81.0,72.22
79200,82.0,72.23
79300,78.0,72.24
79400,70.0,72.23
79500,72.0,72.23
79600,74.0,72.24
79700,59.0,72.22
79800,72.0,72.22
79900,69.0,72.22
80000,59.0,72.2
80100,68.0,72.19
80200,81.0,72.2
80300,71.0,72.2
80400,72.0,72.2
80500,74.0,72.2
80600,81.0,72.22
80700,85.0,72.23
80800,75.0,72.24
80900,67.0,72.23
81000,71.0,72.23
81100,78.0,72.23
81200,70.0,72.23
81300,69.0,72.23
81400,74.0,72.23
81500,77.0,72.24
81600,76.0,72.24
81700,84.0,72.25
81800,66.0,72.25
81900,71.0,72.25
82000,71.0,72.24
82100,75.0,72.25
82200,76.0,72.25
82300,76.0,72.26
82400,73.0,72.26
82500,78.0,72.26
82600,72.0,72.26
82700,73.0,72.26
82800,74.0,72.27
82900,69.0,72.26
83000,80.0,72.27
83100,68.0,72.27
83200,73.0,72.27
83300,73.0,72.27
83400,73.0,72.27
83500,75.0,72.27
83600,75.0,72.28
83700,53.0,72.25
83800,57.0,72.24
83900,73.0,72.24
84000,70.0,72.23
84100,71.0,72.23
84200,79.0,72.24
84300,54.0,72.22
84400,41.0,72.18
84500,79.0,72.19
84600,74.0,72.19
84700,74.0,72.19
84800,76.0,72.2
84900,67.0,72.19
85000,70.0,72.19
85100,78.0,72.2
85200,71.0,72.19
85300,68.0,72.19
85400,70.0,72.19
85500,73.0,72.19
85600,73.0,72.19
85700,76.0,72.19
85800,81.0,72.2
85900,78.0,72.21
86000,72.0,72.21
86100,66.0,72.2
86200,72.0,72.2
86300,74.0,72.21
86400,60.0,72.19
86500,73.0,72.19
86600,75.0,72.2
86700,77.0,72.2
86800,79.0,72.21
86900,68.0,72.2
87000,75.0,72.21
87100,69.0,72.2
87200,71.0,72.2
87300,85.0,72.22
87400,68.0,72.21
87500,77.0,72.22
87600,73.0,72.22
87700,72.0,72.22
87800,81.0,72.23
87900,63.0,72.22
88000,72.0,72.22
88100,68.0,72.21
88200,79.0,72.22
88300,71.0,72.22
88400,64.0,72.21
88500,76.0,72.21
88600,76.0,72.22
88700,66.0,72.21
88800,75.0,72.21
88900,74.0,72.22
89000,71.0,72.21
89100,75.0,72.22
89200,75.0,72.22
89300,76.0,72.23
89400,60.0,72.21
89500,74.0,72.21
89600,77.0,72.22
89700,75.0,72.22
89800,70.0,72.22
89900,74.0,72.22
90000,75.0,72.22
90100,79.0,72.23
90200,86.0,72.25
90300,74.0,72.25
90400,74.0,72.25
90500,76.0,72.26
90600,67.0,72.25
90700,69.0,72.25
90800,79.0,72.25
90900,77.0,72.26
91000,74.0,72.26
91100,82.0,72.27
91200,77.0,72.28
91300,74.0,72.28
91400,75.0,72.28
91500,76.0,72.29
91600,68.0,72.28
91700,52.0,72.26
91800,71.0,72.26
91900,72.0,72.26
92000,66.0,72.25
92100,73.0,72.25
92200,56.0,72.23
92300,74.0,72.24
92400,69.0,72.23
92500,75.0,72.23
92600,74.0,72.24
92700,76.0,72.24
92800,76.0,72.24
92900,74.0,72.25
93000,74.0,72.25
93100,70.0,72.25
93200,76.0,72.25
93300,75.0,72.25
93400,69.0,72.25
93500,72.0,72.25
93600,74.0,72.25
93700,66.0,72.24
93800,74.0,72.25
93900,75.0,72.25
94000,75.0,72.25
94100,37.0,72.21
94200,75.0,72.22
94300,61.0,72.21
94400,71.0,72.2
94500,77.0,72.21
94600,76.0,72.21
94700,79.0,72.22
94800,70.0,72.22
94900,72.0,72.22
95000,72.0,72.22
95100,70.0,72.22
95200,72.0,72.22
95300,78.0,72.22
95400,68.0,72.22
95500,78.0,72.22
95600,72.0,72.22
95700,72.0,72.22
95800,67.0,72.22
95900,69.0,72.21
96000,60.0,72.2
96100,75.0,72.2
96200,75.0,72.21
96300,71.0,72.21
96400,74.0,72.21
96500,69.0,72.2
96600,76.0,72.21
96700,80.0,72.22
96800,75.0,72.22
96900,77.0,72.22
97000,75.0,72.23
97100,72.0,72.23
97200,75.0,72.23
