Episodes, Test_Sample_Rate, Total_Avg_Rate
37900,63.0,70.74
38000,69.0,70.74
38100,72.0,70.74
38200,77.0,70.76
38300,70.0,70.75
38400,73.0,70.76
38500,80.0,70.78
38600,76.0,70.8
38700,75.0,70.81
38800,73.0,70.81
38900,69.0,70.81
39000,74.0,70.82
39100,74.0,70.83
39200,73.0,70.83
39300,78.0,70.85
39400,73.0,70.86
39500,80.0,70.88
39600,78.0,70.9
39700,75.0,70.91
39800,79.0,70.93
39900,74.0,70.93
40000,79.0,70.96
40100,72.0,70.96
40200,78.0,70.98
40300,77.0,70.99
40400,75.0,71.0
40500,69.0,71.0
40600,74.0,71.0
40700,76.0,71.01
40800,73.0,71.02
40900,68.0,71.01
41000,74.0,71.02
41100,72.0,71.02
41200,72.0,71.02
41300,81.0,71.05
41400,73.0,71.05
41500,72.0,71.06
41600,80.0,71.08
41700,71.0,71.08
41800,69.0,71.07
41900,78.0,71.09
42000,72.0,71.09
42100,74.0,71.1
42200,76.0,71.11
42300,80.0,71.13
42400,76.0,71.14
42500,79.0,71.16
42600,73.0,71.16
42700,70.0,71.16
42800,72.0,71.16
42900,74.0,71.17
43000,75.0,71.18
43100,75.0,71.19
43200,75.0,71.2
43300,64.0,71.18
43400,71.0,71.18
43500,75.0,71.19
43600,71.0,71.19
43700,83.0,71.22
43800,77.0,71.23
43900,69.0,71.22
44000,76.0,71.23
44100,78.0,71.25
44200,61.0,71.23
44300,72.0,71.23
44400,79.0,71.25
44500,84.0,71.27
44600,55.0,71.24
44700,81.0,71.26
44800,77.0,71.27
44900,75.0,71.28
45000,78.0,71.3
45100,72.0,71.3
45200,72.0,71.3
45300,68.0,71.29
45400,70.0,71.29
45500,70.0,71.29
45600,71.0,71.29
45700,75.0,71.29
45800,68.0,71.29
45900,75.0,71.29
46000,76.0,71.3
46100,79.0,71.32
46200,71.0,71.32
46300,81.0,71.34
46400,80.0,71.36
46500,75.0,71.37
46600,62.0,71.35
46700,77.0,71.36
46800,77.0,71.37
46900,76.0,71.38
47000,74.0,71.39
47100,75.0,71.39
47200,70.0,71.39
47300,74.0,71.4
47400,79.0,71.41
47500,74.0,71.42
47600,74.0,71.42
47700,63.0,71.41
47800,79.0,71.42
47900,77.0,71.43
48000,74.0,71.44
48100,69.0,71.43
48200,79.0,71.45
48300,75.0,71.46
48400,75.0,71.46
48500,79.0,71.48
48600,72.0,71.48
48700,61.0,71.46
48800,76.0,71.47
48900,75.0,71.48
49000,75.0,71.48
49100,71.0,71.48
49200,66.0,71.47
49300,75.0,71.48
49400,67.0,71.47
49500,68.0,71.46
49600,71.0,71.46
49700,82.0,71.48
49800,69.0,71.48
49900,71.0,71.48
50000,86.0,71.51
50100,70.0,71.5
50200,64.0,71.49
50300,76.0,71.5
50400,80.0,71.51
50500,75.0,71.52
50600,65.0,71.51
50700,75.0,71.51
50800,64.0,71.5
50900,77.0,71.51
51000,72.0,71.51
51100,72.0,71.51
51200,72.0,71.51
51300,79.0,71.53
51400,72.0,71.53
51500,73.0,71.53
51600,76.0,71.54
51700,70.0,71.54
51800,77.0,71.55
51900,71.0,71.55
52000,70.0,71.54
52100,64.0,71.53
52200,79.0,71.54
52300,76.0,71.55
52400,75.0,71.56
52500,66.0,71.55
52600,78.0,71.56
52700,75.0,71.57
52800,70.0,71.56
52900,73.0,71.57
53000,68.0,71.56
53100,84.0,71.58
53200,69.0,71.58
53300,70.0,71.58
53400,71.0,71.57
53500,74.0,71.58
53600,70.0,71.58
53700,71.0,71.58
53800,73.0,71.58
