Episodes, Test_Sample_Rate, Total_Avg_Rate
48600,76.0,67.59
48700,74.0,67.6
48800,72.0,67.61
48900,67.0,67.61
49000,71.0,67.61
49100,75.0,67.63
49200,71.0,67.64
49300,81.0,67.66
49400,80.0,67.69
49500,53.0,67.66
49600,72.0,67.67
49700,79.0,67.69
49800,73.0,67.7
49900,68.0,67.7
50000,71.0,67.71
50100,71.0,67.71
50200,74.0,67.73
50300,72.0,67.74
50400,78.0,67.76
50500,76.0,67.77
50600,62.0,67.76
50700,77.0,67.78
50800,72.0,67.79
50900,77.0,67.81
51000,73.0,67.82
51100,81.0,67.84
51200,49.0,67.8
51300,64.0,67.8
51400,73.0,67.81
51500,76.0,67.82
51600,81.0,67.85
51700,70.0,67.85
51800,76.0,67.87
51900,77.0,67.89
52000,50.0,67.85
52100,73.0,67.86
52200,79.0,67.88
52300,75.0,67.9
52400,78.0,67.92
52500,66.0,67.91
52600,71.0,67.92
52700,81.0,67.94
52800,72.0,67.95
52900,72.0,67.96
53000,74.0,67.97
53100,73.0,67.98
53200,80.0,68.0
53300,73.0,68.01
53400,78.0,68.03
53500,72.0,68.04
53600,77.0,68.05
53700,62.0,68.04
53800,73.0,68.05
53900,76.0,68.07
54000,67.0,68.06
54100,72.0,68.07
54200,78.0,68.09
54300,80.0,68.11
54400,71.0,68.12
54500,76.0,68.13
54600,79.0,68.15
54700,72.0,68.16
54800,68.0,68.16
54900,69.0,68.16
55000,74.0,68.17
55100,68.0,68.17
55200,79.0,68.19
55300,72.0,68.2
55400,74.0,68.21
55500,69.0,68.21
55600,73.0,68.22
55700,74.0,68.23
55800,72.0,68.23
55900,76.0,68.25
56000,77.0,68.26
56100,75.0,68.28
56200,75.0,68.29
56300,80.0,68.31
56400,73.0,68.32
56500,66.0,68.31
56600,75.0,68.33
56700,79.0,68.34
56800,68.0,68.34
56900,73.0,68.35
57000,67.0,68.35
57100,77.0,68.36
57200,76.0,68.38
57300,79.0,68.4
57400,84.0,68.42
57500,73.0,68.43
57600,74.0,68.44
57700,71.0,68.45
57800,70.0,68.45
57900,65.0,68.44
58000,71.0,68.45
58100,76.0,68.46
58200,80.0,68.48
58300,79.0,68.5
58400,70.0,68.5
58500,73.0,68.51
58600,73.0,68.52
58700,80.0,68.53
58800,82.0,68.56
58900,71.0,68.56
59000,73.0,68.57
59100,80.0,68.59
59200,77.0,68.6
59300,82.0,68.63
59400,74.0,68.63
59500,80.0,68.65
59600,87.0,68.68
59700,69.0,68.69
59800,75.0,68.7
59900,75.0,68.71
60000,77.0,68.72
60100,43.0,68.68
60200,82.0,68.7
60300,70.0,68.7
60400,80.0,68.72
60500,69.0,68.72
60600,69.0,68.72
60700,73.0,68.73
60800,72.0,68.73
60900,78.0,68.75
61000,79.0,68.77
61100,82.0,68.79
61200,78.0,68.8
61300,73.0,68.81
61400,73.0,68.82
61500,72.0,68.82
61600,73.0,68.83
61700,70.0,68.83
61800,76.0,68.84
61900,75.0,68.85
62000,67.0,68.85
62100,67.0,68.85
62200,78.0,68.86
62300,75.0,68.87
62400,71.0,68.87
62500,74.0,68.88
62600,73.0,68.89
62700,76.0,68.9
62800,63.0,68.89
62900,69.0,68.89
63000,76.0,68.9
63100,73.0,68.91
63200,65.0,68.9
63300,80.0,68.92
63400,76.0,68.93
63500,73.0,68.94
63600,77.0,68.95
63700,67.0,68.95
63800,77.0,68.96
63900,70.0,68.96
64000,71.0,68.96
64100,72.0,68.97
64200,71.0,68.97
64300,77.0,68.98
64400,65.0,68.98
64500,67.0,68.98
64600,77.0,68.99
64700,80.0,69.0
64800,75.0,69.01
64900,78.0,69.03
65000,73.0,69.03
65100,74.0,69.04
65200,78.0,69.06
65300,66.0,69.05
65400,70.0,69.05
65500,72.0,69.06
65600,72.0,69.06
65700,69.0,69.06
65800,73.0,69.07
65900,77.0,69.08
66000,72.0,69.08
66100,63.0,69.07
66200,75.0,69.08
66300,62.0,69.07
66400,80.0,69.09
66500,70.0,69.09
66600,70.0,69.09
66700,75.0,69.1
66800,79.0,69.12
66900,69.0,69.12
67000,78.0,69.13
67100,77.0,69.14
67200,78.0,69.15
67300,74.0,69.16
67400,74.0,69.17
67500,71.0,69.17
67600,74.0,69.18
67700,74.0,69.18
67800,73.0,69.19
67900,78.0,69.2
68000,77.0,69.21
68100,77.0,69.23
68200,77.0,69.24
68300,74.0,69.24
68400,77.0,69.26
68500,68.0,69.25
68600,80.0,69.27
68700,76.0,69.28
68800,72.0,69.28
68900,78.0,69.3
69000,68.0,69.29
69100,69.0,69.29
69200,77.0,69.3
69300,71.0,69.31
69400,72.0,69.31
69500,81.0,69.33
69600,79.0,69.34
69700,74.0,69.35
69800,77.0,69.36
69900,72.0,69.36
70000,71.0,69.37
70100,79.0,69.38
70200,75.0,69.39
70300,81.0,69.4
70400,57.0,69.39
70500,76.0,69.4
70600,74.0,69.4
70700,81.0,69.42
70800,69.0,69.42
70900,70.0,69.42
71000,76.0,69.43
71100,73.0,69.43
71200,78.0,69.45
71300,79.0,69.46
71400,77.0,69.47
71500,73.0,69.47
71600,76.0,69.48
71700,67.0,69.48
71800,36.0,69.43
71900,64.0,69.43
72000,70.0,69.43
72100,78.0,69.44
72200,72.0,69.44
72300,71.0,69.44
72400,67.0,69.44
72500,59.0,69.43
72600,69.0,69.43
72700,75.0,69.43
72800,71.0,69.44
72900,70.0,69.44
73000,71.0,69.44
73100,76.0,69.45
73200,75.0,69.45
73300,76.0,69.46
73400,80.0,69.48
73500,75.0,69.49
73600,75.0,69.49
73700,75.0,69.5
73800,75.0,69.51
73900,80.0,69.52
74000,64.0,69.51
74100,74.0,69.52
74200,77.0,69.53
74300,74.0,69.54
74400,64.0,69.53
74500,72.0,69.53
74600,77.0,69.54
74700,65.0,69.54
74800,71.0,69.54
74900,69.0,69.54
75000,74.0,69.54
75100,66.0,69.54
75200,71.0,69.54
75300,70.0,69.54
75400,77.0,69.55
75500,72.0,69.55
75600,79.0,69.57
75700,81.0,69.58
75800,71.0,69.58
75900,69.0,69.58
76000,77.0,69.59
76100,73.0,69.6
76200,76.0,69.61
76300,78.0,69.62
76400,86.0,69.64
76500,68.0,69.64
76600,78.0,69.65
76700,75.0,69.65
76800,75.0,69.66
76900,70.0,69.66
77000,69.0,69.66
77100,71.0,69.66
77200,68.0,69.66
77300,76.0,69.67
77400,72.0,69.67
77500,74.0,69.68
77600,80.0,69.69
77700,72.0,69.69
77800,70.0,69.69
77900,74.0,69.7
78000,67.0,69.7
78100,77.0,69.71
78200,76.0,69.71
78300,86.0,69.73
78400,69.0,69.73
78500,70.0,69.73
78600,74.0,69.74
78700,71.0,69.74
78800,77.0,69.75
78900,80.0,69.76
79000,77.0,69.77
79100,78.0,69.78
79200,77.0,69.79
79300,77.0,69.8
79400,77.0,69.81
79500,71.0,69.81
79600,73.0,69.82
79700,58.0,69.8
79800,76.0,69.81
79900,78.0,69.82
80000,75.0,69.83
80100,75.0,69.83
80200,71.0,69.83
80300,80.0,69.85
80400,73.0,69.85
80500,65.0,69.84
80600,82.0,69.86
80700,75.0,69.86
80800,77.0,69.87
80900,72.0,69.88
81000,79.0,69.89
81100,73.0,69.89
81200,73.0,69.9
81300,77.0,69.9
81400,73.0,69.91
81500,76.0,69.92
81600,75.0,69.92
81700,79.0,69.93
81800,75.0,69.94
81900,75.0,69.95
82000,68.0,69.94
82100,72.0,69.95
82200,74.0,69.95
82300,73.0,69.95
82400,69.0,69.95
82500,79.0,69.96
82600,73.0,69.97
82700,72.0,69.97
82800,67.0,69.97
82900,75.0,69.97
83000,71.0,69.97
83100,74.0,69.98
83200,52.0,69.96
83300,74.0,69.96
83400,70.0,69.96
83500,71.0,69.96
83600,63.0,69.95
83700,68.0,69.95
83800,72.0,69.95
83900,69.0,69.95
84000,77.0,69.96
84100,75.0,69.97
84200,66.0,69.96
84300,73.0,69.97
84400,79.0,69.98
84500,67.0,69.97
84600,74.0,69.98
84700,77.0,69.99
84800,83.0,70.0
84900,75.0,70.01
85000,75.0,70.01
85100,62.0,70.0
85200,74.0,70.01
85300,76.0,70.02
85400,80.0,70.03
85500,68.0,70.03
85600,64.0,70.02
85700,75.0,70.02
85800,70.0,70.02
85900,72.0,70.03
86000,69.0,70.03
86100,68.0,70.02
86200,80.0,70.03
86300,74.0,70.04
86400,73.0,70.04
86500,75.0,70.05
86600,51.0,70.03
86700,60.0,70.01
86800,75.0,70.02
86900,66.0,70.02
87000,73.0,70.02
87100,77.0,70.03
87200,39.0,69.99
87300,76.0,70.0
87400,74.0,70.0
87500,79.0,70.01
87600,77.0,70.02
87700,67.0,70.02
87800,77.0,70.03
87900,75.0,70.03
88000,79.0,70.04
88100,76.0,70.05
88200,75.0,70.05
88300,83.0,70.07
88400,76.0,70.08
88500,71.0,70.08
88600,79.0,70.09
88700,68.0,70.08
88800,73.0,70.09
88900,66.0,70.08
89000,75.0,70.09
89100,77.0,70.1
89200,77.0,70.1
89300,77.0,70.11
89400,54.0,70.09
89500,73.0,70.1
89600,68.0,70.09
89700,57.0,70.08
89800,80.0,70.09
89900,73.0,70.09
90000,72.0,70.1
90100,75.0,70.1
90200,82.0,70.12
90300,75.0,70.12
90400,71.0,70.12
90500,71.0,70.12
90600,76.0,70.13
90700,80.0,70.14
90800,72.0,70.14
90900,75.0,70.15
91000,74.0,70.15
91100,67.0,70.15
91200,75.0,70.15
91300,74.0,70.16
91400,77.0,70.17
91500,78.0,70.17
91600,72.0,70.18
91700,69.0,70.17
91800,81.0,70.19
91900,74.0,70.19
92000,73.0,70.19
92100,71.0,70.19
92200,76.0,70.2
92300,80.0,70.21
92400,78.0,70.22
92500,71.0,70.22
92600,67.0,70.22
92700,81.0,70.23
92800,74.0,70.23
92900,76.0,70.24
93000,76.0,70.25
